"iso3c","year","source","generation"
"ASM",2017,"solar",4.84
"ASM",2018,"oil",161.99
"ASM",2018,"solar",4.84
"ASM",2019,"oil",165.1
"ASM",2019,"solar",4.9
"ASM",2020,"oil",165.12
"ASM",2020,"solar",4.9
"ATG",2000,"oil",150
"ATG",2001,"oil",171
"ATG",2002,"oil",191
"ATG",2003,"oil",211
"ATG",2004,"oil",221
"ATG",2005,"oil",243
"ATG",2006,"oil",258
"ATG",2007,"oil",285.4
"ATG",2008,"oil",296
"ATG",2009,"oil",327.4
"ATG",2009,"solar",0.16
"ATG",2010,"oil",329.5
"ATG",2010,"solar",0.16
"ATG",2011,"oil",329
"ATG",2011,"solar",0.47
"ATG",2012,"oil",330
"ATG",2012,"solar",0.47
"ATG",2013,"oil",330
"ATG",2013,"solar",0.63
"ATG",2014,"oil",336
"ATG",2014,"solar",0.63
"ATG",2015,"oil",340
"ATG",2015,"solar",5.36
"ATG",2016,"oil",344
"ATG",2016,"solar",5.43
"ATG",2017,"oil",344
"ATG",2017,"solar",5.83
"ATG",2018,"oil",352.38
"ATG",2018,"solar",9.61
"ATG",2019,"oil",212.87
"ATG",2019,"solar",13.07
"ATG",2020,"oil",215.1
"ATG",2020,"solar",16.34
"AUS",2000,"bioenergy",1134
"AUS",2000,"coal",174245
"AUS",2000,"gas",16245
"AUS",2000,"hydro",16720
"AUS",2000,"oil",1784
"AUS",2000,"otherrenewable",0.1
"AUS",2000,"solar",38
"AUS",2000,"wind",58
"AUS",2001,"bioenergy",1345
"AUS",2001,"coal",186788
"AUS",2001,"gas",17271
"AUS",2001,"hydro",16933
"AUS",2001,"oil",2044
"AUS",2001,"otherrenewable",0.1
"AUS",2001,"solar",44
"AUS",2001,"wind",210
"AUS",2002,"bioenergy",1583
"AUS",2002,"coal",175328
"AUS",2002,"gas",31730
"AUS",2002,"hydro",16054
"AUS",2002,"oil",2446
"AUS",2002,"otherrenewable",0.1
"AUS",2002,"solar",50
"AUS",2002,"wind",364
"AUS",2003,"bioenergy",1583
"AUS",2003,"coal",170930
"AUS",2003,"gas",29376
"AUS",2003,"hydro",16490
"AUS",2003,"oil",1661
"AUS",2003,"otherrenewable",0.1
"AUS",2003,"solar",59
"AUS",2003,"wind",703
"AUS",2004,"bioenergy",1799
"AUS",2004,"coal",177222
"AUS",2004,"gas",30919
"AUS",2004,"hydro",16331
"AUS",2004,"oil",1389
"AUS",2004,"otherrenewable",0.1
"AUS",2004,"solar",69
"AUS",2004,"wind",705
"AUS",2005,"bioenergy",3830
"AUS",2005,"coal",181600
"AUS",2005,"gas",23803
"AUS",2005,"hydro",15612
"AUS",2005,"oil",2841
"AUS",2005,"otherrenewable",0.1
"AUS",2005,"solar",79
"AUS",2005,"wind",885
"AUS",2006,"bioenergy",3911
"AUS",2006,"coal",185301
"AUS",2006,"gas",22726
"AUS",2006,"hydro",16029
"AUS",2006,"oil",3058
"AUS",2006,"otherrenewable",1
"AUS",2006,"solar",91
"AUS",2006,"wind",1713
"AUS",2007,"bioenergy",3953
"AUS",2007,"coal",187224
"AUS",2007,"gas",31849
"AUS",2007,"hydro",14517
"AUS",2007,"oil",2893
"AUS",2007,"otherrenewable",1
"AUS",2007,"solar",109
"AUS",2007,"wind",2611
"AUS",2008,"bioenergy",4596
"AUS",2008,"coal",184334
"AUS",2008,"gas",34955
"AUS",2008,"hydro",12057
"AUS",2008,"oil",4058
"AUS",2008,"otherrenewable",1
"AUS",2008,"solar",127
"AUS",2008,"wind",3093
"AUS",2009,"bioenergy",2815
"AUS",2009,"coal",185823
"AUS",2009,"gas",40072
"AUS",2009,"hydro",11869
"AUS",2009,"oil",3598
"AUS",2009,"otherrenewable",1
"AUS",2009,"solar",160
"AUS",2009,"wind",3824
"AUS",2010,"bioenergy",2777
"AUS",2010,"coal",180210
"AUS",2010,"gas",44585
"AUS",2010,"hydro",13549
"AUS",2010,"oil",6098
"AUS",2010,"otherrenewable",1
"AUS",2010,"solar",389
