Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Myanmar,CAIT,Electricity/Heat,All GHG,MtCO₂e,12.62,9.72,9.25,7.36,5.69,4.76,3.33,3.2,2.97,2.75,2.17,2.89,3.12,3.12,3.12,3.1,3.18,2.73,2.39,2.78,3.17,2.91,2.87,2.69,2.49,2.2,1.9,1.71,1.61,1.59
Syria,CAIT,Electricity/Heat,All GHG,MtCO₂e,12.27,12.6,12.84,12.31,11.98,12.64,14.95,21.83,26.47,29.33,29.62,28.14,26.56,24.87,23.33,20.33,20.39,18.85,17.13,16.33,15.79,14.74,13.57,12.69,11.53,10.49,8.71,8.45,8.05,7.98
Dominican Republic,CAIT,Electricity/Heat,All GHG,MtCO₂e,11.85,11.19,10.06,10.99,10.84,10.1,9.22,9.55,9.53,8.97,8.45,9.47,9.14,9.0,8.64,7.93,9.14,10.55,9.95,9.6,9.33,8.74,5.88,5.15,5.02,4.97,4.06,4.4,3.67,3.29
Trinidad and Tobago,CAIT,Electricity/Heat,All GHG,MtCO₂e,11.47,12.37,12.12,12.24,13.9,14.09,14.55,13.86,14.72,14.01,12.38,12.78,13.0,13.6,11.38,10.52,10.13,7.58,6.48,5.59,5.87,5.97,5.66,5.32,5.15,5.23,5.23,5.32,5.02,4.72
Sri Lanka,CAIT,Electricity/Heat,All GHG,MtCO₂e,9.98,8.18,9.74,8.75,6.84,6.87,4.09,6.54,5.21,3.43,4.14,4.04,4.12,3.41,4.67,4.47,3.97,3.52,3.08,3.33,1.57,1.33,1.51,1.22,0.36,0.44,0.42,0.79,0.32,0.15
Slovakia,CAIT,Electricity/Heat,All GHG,MtCO₂e,9.95,11.1,11.93,11.74,11.85,11.39,12.72,12.99,13.64,13.86,13.24,13.77,14.92,15.72,16.12,16.27,17.17,14.99,16.47,14.45,16.53,16.64,17.32,17.34,18.04,16.39,18.18,16.61,17.24,17.8
Tunisia,CAIT,Electricity/Heat,All GHG,MtCO₂e,9.77,9.48,9.29,9.14,9.73,9.71,9.26,9.1,8.33,8.45,7.63,7.27,7.2,6.67,6.17,5.91,5.75,6.92,6.9,6.33,6.22,5.77,5.4,5.01,4.75,4.77,4.71,4.65,4.41,4.01
Ireland,CAIT,Electricity/Heat,All GHG,MtCO₂e,9.4,10.69,12.05,12.91,12.16,11.48,11.65,13.06,12.14,13.54,13.15,14.67,14.95,15.31,15.65,15.15,15.55,16.41,17.07,15.74,15.62,15.13,14.31,13.79,13.19,12.67,12.22,12.2,11.47,10.91
Jordan,CAIT,Electricity/Heat,All GHG,MtCO₂e,9.13,9.54,10.52,10.25,11.77,12.6,11.59,11.32,9.94,9.06,8.91,8.77,8.58,7.95,7.44,7.11,7.2,7.12,6.71,6.76,5.86,6.03,5.57,5.41,5.18,4.69,4.57,4.43,3.81,3.45
Denmark,CAIT,Electricity/Heat,All GHG,MtCO₂e,8.81,11.71,11.78,14.12,13.01,15.77,19.32,17.14,20.37,24.57,24.63,24.7,26.86,31.58,23.81,27.11,33.03,28.08,27.85,26.6,29.68,32.77,36.31,45.4,32.77,36.42,32.24,30.66,35.67,26.72
